,Date,Total Approve,Total Disapprove,Total_Approve,Total_Disapprove,Relative_Approval,Neutral
520,2015-01-23,51%,47%,51,47,4,2
521,2015-01-22,50%,48%,50,48,2,2
522,2015-01-21,49%,50%,49,50,-1,1
523,2015-01-20,48%,51%,48,51,-3,1
524,2015-01-19,49%,50%,49,50,-1,1
525,2015-01-18,49%,50%,49,50,-1,1
526,2015-01-17,49%,49%,49,49,0,2
527,2015-01-16,48%,50%,48,50,-2,2
528,2015-01-15,48%,50%,48,50,-2,2
529,2015-01-14,50%,49%,50,49,1,1
530,2015-01-13,49%,50%,49,50,-1,1
531,2015-01-12,49%,50%,49,50,-1,1
532,2015-01-11,48%,51%,48,51,-3,1
533,2015-01-10,47%,52%,47,52,-5,1
534,2015-01-09,48%,50%,48,50,-2,2
535,2015-01-08,48%,50%,48,50,-2,2
536,2015-01-07,51%,47%,51,47,4,2
537,2015-01-06,51%,48%,51,48,3,1
538,2015-01-05,51%,48%,51,48,3,1
539,2015-01-04,50%,48%,50,48,2,2
540,2015-01-03,50%,48%,50,48,2,2
541,2014-12-31,49%,49%,49,49,0,2
542,2014-12-30,48%,50%,48,50,-2,2
543,2014-12-29,48%,51%,48,51,-3,1
544,2014-12-24,48%,51%,48,51,-3,1
545,2014-12-23,48%,51%,48,51,-3,1
546,2014-12-22,47%,52%,47,52,-5,1
547,2014-12-21,48%,51%,48,51,-3,1
548,2014-12-20,47%,52%,47,52,-5,1
549,2014-12-19,47%,51%,47,51,-4,2
550,2014-12-18,47%,51%,47,51,-4,2
551,2014-12-17,47%,51%,47,51,-4,2
552,2014-12-16,47%,51%,47,51,-4,2
553,2014-12-15,48%,51%,48,51,-3,1
554,2014-12-14,48%,50%,48,50,-2,2
555,2014-12-13,48%,50%,48,50,-2,2
556,2014-12-12,47%,51%,47,51,-4,2
557,2014-12-11,47%,52%,47,52,-5,1
558,2014-12-10,48%,50%,48,50,-2,2
559,2014-12-09,49%,50%,49,50,-1,1
560,2014-12-08,50%,49%,50,49,1,1
561,2014-12-07,47%,52%,47,52,-5,1
562,2014-12-06,46%,52%,46,52,-6,2
563,2014-12-05,46%,52%,46,52,-6,2
564,2014-12-04,47%,51%,47,51,-4,2
565,2014-12-03,48%,50%,48,50,-2,2
566,2014-12-02,48%,51%,48,51,-3,1
567,2014-12-01,48%,50%,48,50,-2,2
568,2014-11-26,46%,52%,46,52,-6,2
569,2014-11-25,45%,52%,45,52,-7,3
570,2014-11-24,45%,53%,45,53,-8,2
571,2014-11-23,47%,51%,47,51,-4,2
572,2014-11-22,47%,52%,47,52,-5,1
573,2014-11-21,47%,52%,47,52,-5,1
574,2014-11-20,46%,53%,46,53,-7,1
575,2014-11-19,48%,50%,48,50,-2,2
576,2014-11-18,48%,51%,48,51,-3,1
577,2014-11-17,48%,50%,48,50,-2,2
578,2014-11-16,46%,52%,46,52,-6,2
579,2014-11-15,48%,51%,48,51,-3,1
